iter	Passed	Remaining
401	9302	13837
402	9319	13806
403	9342	13782
404	9359	13751
405	9379	13722
406	9395	13688
407	9413	13659
408	9431	13628
409	9455	13607
410	9489	13599
411	9507	13569
412	9524	13537
413	9543	13508
414	9559	13475
415	9581	13450
416	9597	13417
417	9614	13386
418	9631	13355
419	9654	13332
420	9677	13309
421	9694	13277
422	9712	13248
423	9728	13216
424	9747	13187
425	9762	13154
426	9779	13123
427	9796	13092
428	9820	13071
429	9843	13048
430	9861	13018
431	9879	12989
432	9901	12965
433	9918	12935
434	9937	12906
435	9953	12875
436	9972	12848
437	9989	12817
438	10014	12797
439	10030	12765
440	10045	12732
441	10058	12698
442	10079	12673
443	10098	12645
444	10114	12615
445	10137	12591
446	10155	12563
447	10184	12549
448	10203	12521
449	10219	12490
450	10239	12464
451	10255	12433
452	10276	12409
453	10297	12383
454	10313	12353
455	10335	12330
456	10351	12299
457	10369	12271
458	10385	12240
459	10405	12215
460	10428	12193
461	10446	12164
462	10466	12139
463	10482	12109
464	10503	12084
465	10522	12058
466	10537	12026
467	10560	12004
468	10576	11974
469	10597	11950
470	10613	11920
471	10639	11901
472	10673	11892
473	10692	11866
474	10709	11836
475	10729	11811
476	10744	11781
477	10765	11756
478	10781	11726
479	10804	11704
480	10824	11679
481	10842	11651
482	10861	11626
483	10877	11596
484	10897	11571
485	10913	11542
486	10937	11521
487	10958	11497
488	10974	11467
489	10991	11439
490	11007	11410
491	11027	11386
492	11044	11358
493	11063	11331
494	11079	11303
495	11099	11278
496	11117	11252
497	11147	11236
498	11166	11211
499	11181	11181
500	11198	11154
501	11214	11124
502	11237	11103
503	11257	11079
504	11274	11051
505	11295	11027
506	11311	10999
507	11329	10972
508	11346	10945
509	11369	10923
510	11394	10903
511	11412	10877
512	11440	10861
513	11458	10833
514	11476	10808
515	11500	10787
516	11521	10763
517	11539	10737
518	11559	10713
519	11575	10685
520	11598	10663
521	11635	10654
522	11655	10629
523	11671	10601
524	11689	10575
525	11705	10548
526	11726	10525
527	11743	10497
528	11766	10476
529	11784	10450
530	11800	10422
531	11821	10399
532	11840	10374
533	11867	10356
534	11886	10331
535	11902	10303
536	11922	10279
537	11938	10251
538	11962	10231
539	11982	10207
540	12001	10182
541	12018	10155
542	12034	10128
543	12054	10104
544	12071	10078
545	12099	10060
546	12119	10036
547	12135	10009
548	12154	9984
549	12178	9964
550	12195	9937
